城市,店名,维度,经度
贵阳市,贵阳国贸逸天城热麦店,26.562769,106.723373
贵阳市,贵阳南国花锦店,26.582358,106.713198
贵阳市,贵阳国贸GO店,26.584673,106.711678
贵阳市,贵阳汇金星力城GO店,26.58177,106.70223
贵阳市,贵阳鸿通城GO店,26.557577,106.708097
贵阳市,贵阳CCPark店,26.64606,106.64913
贵阳市,贵阳荔星名店A馆GO店,26.572277,106.716409
贵阳市,贵阳金阳国贸tpmall店,26.600431,106.623627
苏州市,苏州圆融时代店,31.320721,120.713660
苏州市,苏州印象城热麦店,31.318450,120.657350
苏州市,苏州中心店,31.318780,120.678190
苏州市,苏州永旺梦乐城工业园店,31.322676,120.757233
苏州市,昆山九方城店,31.404823,120.956695
苏州市,苏州天虹CC店,31.3098,120.600041
苏州市,苏州吴江万宝店,31.130013,120.644013
苏州市,苏州苏悦广场店,31.315089,120.668947
苏州市,苏州绿宝店,31.301825,120.549487
苏州市,苏州吴中永旺梦乐城店,31.194815,120.613157
苏州市,张家港杨舍老街店,31.865503,120.549475
苏州市,苏州吴江吾悦广场店,31.137858,120.61773
苏州市,苏州昆山万象汇店,31.381699,120.929383
苏州市,苏州红唐购物中心店,31.292002,120.564755
苏州市,苏州北高铁站吾悦店,31.414039,120.631921
柳州市,柳州万象城店,24.322123,109.449845
柳州市,柳州工贸大厦店,24.312377,109.411339
徐州市,徐州金鹰店,34.266904,117.186597
徐州市,徐州云龙万达店,34.253148,117.246354
石家庄市,石家庄万象城店,38.041603,114.478635
石家庄市,石家庄北国商城店,38.04265,114.5113
石家庄市,石家庄勒泰中心店,38.045569,114.507306
石家庄市,石家庄先天下广场GO店,38.04254,114.526001
珠海市,珠海富华里店,22.233543,113.540993
珠海市,珠海国贸广场店,22.257336,113.580442
珠海市,珠海扬名广场店,22.275495,113.579482
珠海市,珠海迎宾广场店,22.223439,113.55314
珠海市,珠海优特汇店,22.27776,113.55916
珠海市,珠海华发商都店,22.224016,113.510767
珠海市, 珠海天虹GO店,22.240614,113.520946
厦门市,厦门万象城LAB店,24.473215,118.111610
厦门市,厦门SM广场店,24.501613,118.126412
厦门市,厦门磐基名品中心店,24.4825,118.12076
厦门市,厦门中华城热麦店,24.451364,118.083699
厦门市,厦门大学店,24.434481,118.095405
厦门市,厦门湖里万达店,24.504721,118.17754
厦门市,厦门宝龙一城店,24.48525,118.172985
厦门市,厦门中航紫金广场GO店,24.47619,118.19348
厦门市,厦门阿罗海城市广场店,24.479487,118.032031
江门市,江门中天新地店,22.611510,113.082820
江门市,江门汇悦城店,22.611500,113.083010
江门市,江门金蓝海GO店,22.577027,113.08493
江门市,江门地王广场GO店,22.577314,113.085613
江门市,江门江边里创始店,22.585532,113.094832
江门市,江门台山万达GO店,22.22945,112.815649
江门市,江门台山昌大昌广场店,22.245375,112.827262
台州市,台州中盛城市广场店,28.578832,121.379131
湖州市,湖州浙北购物中心店,30.866943,120.098921
海口市,海口N次方公园店,20.025675,110.313456
海口市,海口友谊阳光城店,20.023651,110.323982
桂林市,桂林高新万达店,25.242754,110.319972
嘉兴市,嘉兴八佰伴购物中心店,30.758469,120.731317
嘉兴市,嘉兴八佰伴华府店,30.731571,120.734596
嘉兴市,海宁银泰城店,30.500134,120.693425
沈阳市,沈阳大悦城热麦店,41.803002,123.467032
沈阳市,沈阳万象汇店,41.795572,123.372753
沈阳市,沈阳万象城店,41.774872,123.434523
沈阳市,沈阳长白万象汇店,41.747092,123.399309
杭州市,杭州来福士店,30.248485,120.213354
杭州市,杭州湖滨银泰in77A区黑金店,30.252873,120.162829
杭州市,杭州万象城店,30.253060,120.215070
杭州市,杭州星光大道店,30.20746,120.20947
杭州市,杭州城西银泰城店,30.299943,120.106603
杭州市,杭州金沙天街店,30.309944,120.326198
杭州市,杭州工联CC店,30.253979,120.164664
杭州市,杭州西溪印象城DP店,30.247427,120.048719
杭州市,杭州国大广场热麦店,30.270006,120.16203
杭州市,杭州萧山银隆店,30.170842,120.268064
杭州市,杭州临平银泰城店,30.404601,120.302932
杭州市,杭州滨江宝龙店,30.18774,120.167363
杭州市,杭州金地广场店,30.340308,120.082303
杭州市,杭州龙湖西溪天街店,30.292498,120.068851
杭州市,杭州湖滨银泰in77B区店,30.254257,120.163393
杭州市,杭州亲橙里店,30.280519,120.028145
杭州市,杭州大悦城店,30.302156,120.130131
杭州市,杭州远洋乐堤港GO店,30.304419,120.142357
杭州市,杭州黄龙万科GO店,30.275375,120.126157
杭州市,杭州萧山加州阳光店,30.182626,120.252285
杭州市,杭州萧山机场T3航站楼店,30.23621,120.43624
杭州市,杭州天虹店,30.264894,120.210085
杭州市, 杭州之江银泰店,30.16847,120.102511
杭州市,杭州天目里GO店,30.266675,120.101091
杭州市,杭州西湖银泰城店,30.244068,120.166108
杭州市,杭州金沙印象城店,30.30845,120.336311
杭州市,杭州西溪银泰城店,30.293378,120.076166
杭州市,杭州万象汇店,30.181723,120.269663
武汉市,武汉永旺梦乐城店,30.505091,114.207012
